freq,unit,deg_urb,rskpovth,geo,year,crime_rate
Annual,Percentage,Cities,Below 60%,Belgium,2003,27.2
Annual,Percentage,Cities,Below 60%,Belgium,2004,25.9
Annual,Percentage,Cities,Below 60%,Belgium,2005,29.3
Annual,Percentage,Cities,Below 60%,Belgium,2006,29.6
Annual,Percentage,Cities,Below 60%,Belgium,2007,25.9
Annual,Percentage,Cities,Below 60%,Belgium,2008,27.1
Annual,Percentage,Cities,Below 60%,Belgium,2009,32.5
Annual,Percentage,Cities,Below 60%,Belgium,2010,27.4
Annual,Percentage,Cities,Below 60%,Belgium,2011,28.4
Annual,Percentage,Cities,Below 60%,Belgium,2012,32.8
Annual,Percentage,Cities,Below 60%,Belgium,2013,37.3
Annual,Percentage,Cities,Below 60%,Belgium,2014,33.1
Annual,Percentage,Cities,Below 60%,Belgium,2015,29.8
Annual,Percentage,Cities,Below 60%,Belgium,2016,29.2
Annual,Percentage,Cities,Below 60%,Belgium,2017,24.2
Annual,Percentage,Cities,Below 60%,Belgium,2018,28.2
Annual,Percentage,Cities,Below 60%,Belgium,2019,23.7
Annual,Percentage,Cities,Below 60%,Belgium,2020,24.1
Annual,Percentage,Cities,Below 60%,Belgium,2023,29.6
Annual,Percentage,Cities,Below 60%,Bulgaria,2005,52.0
Annual,Percentage,Cities,Below 60%,Bulgaria,2006,52.0
Annual,Percentage,Cities,Below 60%,Bulgaria,2007,52.2
Annual,Percentage,Cities,Below 60%,Bulgaria,2008,41.0
Annual,Percentage,Cities,Below 60%,Bulgaria,2009,39.7
Annual,Percentage,Cities,Below 60%,Bulgaria,2010,43.1
Annual,Percentage,Cities,Below 60%,Bulgaria,2011,42.6
Annual,Percentage,Cities,Below 60%,Bulgaria,2012,38.7
Annual,Percentage,Cities,Below 60%,Bulgaria,2013,36.6
Annual,Percentage,Cities,Below 60%,Bulgaria,2014,44.9
Annual,Percentage,Cities,Below 60%,Bulgaria,2015,42.8
Annual,Percentage,Cities,Below 60%,Bulgaria,2016,36.9
Annual,Percentage,Cities,Below 60%,Bulgaria,2017,40.7
Annual,Percentage,Cities,Below 60%,Bulgaria,2018,28.8
Annual,Percentage,Cities,Below 60%,Bulgaria,2019,27.2
Annual,Percentage,Cities,Below 60%,Bulgaria,2020,30.6
Annual,Percentage,Cities,Below 60%,Bulgaria,2023,33.1
Annual,Percentage,Cities,Below 60%,Czechia,2005,25.9
Annual,Percentage,Cities,Below 60%,Czechia,2006,38.8
Annual,Percentage,Cities,Below 60%,Czechia,2007,27.4
Annual,Percentage,Cities,Below 60%,Czechia,2008,30.5
Annual,Percentage,Cities,Below 60%,Czechia,2009,35.2
Annual,Percentage,Cities,Below 60%,Czechia,2010,31.8
