freq,unit,quantile,hhcomp,geo,time,value
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2010,34.2
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2011,34.0
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,34.9
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,34.7
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,35.1
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,35.1
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,34.8
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,36.4
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,35.9
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,35.8
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2021,
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2022,
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023,
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2024,
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2025,
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2010,32.7
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2011,32.5
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2012,32.7
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2013,32.5
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2014,32.6
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2015,32.6
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2016,32.3
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2017,32.5
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2018,33.0
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2019,32.8
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2020,32.9
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2021,33.4
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2022,33.6
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2023,33.2
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2024,33.1
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),2025,33.4
Annual,Percentage,Total,Total,European Union - 28 countries (2013-2020),2010,34.2
