rskpovth,sex,geo,year,deprivation_rate
Total,Total,Belgium,2003,2.4
Total,Total,Belgium,2004,1.2
Total,Total,Belgium,2005,1.7
Total,Total,Belgium,2006,1.1
Total,Total,Belgium,2007,1.2
Total,Total,Belgium,2008,1.1
Total,Total,Belgium,2009,1.3
Total,Total,Belgium,2010,1.9
Total,Total,Belgium,2011,1.0
Total,Total,Belgium,2012,0.6
Total,Total,Belgium,2013,0.9
Total,Total,Belgium,2014,0.9
Total,Total,Belgium,2015,0.9
Total,Total,Belgium,2016,1.7
Total,Total,Belgium,2017,2.3
Total,Total,Belgium,2018,2.2
Total,Total,Belgium,2019,1.9
Total,Total,Belgium,2020,2.3
Total,Total,Belgium,2023,1.7
Total,Total,Bulgaria,2006,22.8
Total,Total,Bulgaria,2007,18.2
Total,Total,Bulgaria,2008,23.5
Total,Total,Bulgaria,2009,18.8
Total,Total,Bulgaria,2010,14.7
Total,Total,Bulgaria,2011,14.3
Total,Total,Bulgaria,2012,12.9
Total,Total,Bulgaria,2013,13.0
Total,Total,Bulgaria,2014,12.9
Total,Total,Bulgaria,2015,11.4
Total,Total,Bulgaria,2016,11.6
Total,Total,Bulgaria,2017,10.6
Total,Total,Bulgaria,2018,10.1
Total,Total,Bulgaria,2019,8.9
Total,Total,Bulgaria,2020,8.6
Total,Total,Bulgaria,2023,6.0
Total,Total,Czechia,2005,9.8
Total,Total,Czechia,2006,10.7
Total,Total,Czechia,2007,8.1
Total,Total,Czechia,2008,6.5
Total,Total,Czechia,2009,6.2
Total,Total,Czechia,2010,4.5
Total,Total,Czechia,2011,4.8
Total,Total,Czechia,2012,3.9
Total,Total,Czechia,2013,4.0
Total,Total,Czechia,2014,3.5
Total,Total,Czechia,2015,3.3
Total,Total,Czechia,2016,3.0
Total,Total,Czechia,2017,2.1
Total,Total,Czechia,2018,2.3
Total,Total,Czechia,2019,1.9
Total,Total,Czechia,2020,2.0
Total,Total,Czechia,2023,2.6
Total,Total,Denmark,2003,2.4
Total,Total,Denmark,2004,1.8
Total,Total,Denmark,2005,1.2
Total,Total,Denmark,2006,1.3
Total,Total,Denmark,2007,1.7
Total,Total,Denmark,2008,1.1
Total,Total,Denmark,2009,1.3
Total,Total,Denmark,2010,1.3
Total,Total,Denmark,2011,2.6
Total,Total,Denmark,2012,2.3
Total,Total,Denmark,2013,2.3
Total,Total,Denmark,2014,2.3
Total,Total,Denmark,2015,2.8
Total,Total,Denmark,2016,1.7
Total,Total,Denmark,2017,2.7
Total,Total,Denmark,2018,3.2
Total,Total,Denmark,2019,2.8
Total,Total,Denmark,2020,2.8
Total,Total,Denmark,2023,1.8
Total,Total,Germany,2005,1.8
Total,Total,Germany,2006,2.5
Total,Total,Germany,2007,1.8
Total,Total,Germany,2008,2.0
Total,Total,Germany,2009,2.1
Total,Total,Germany,2010,2.1
Total,Total,Germany,2011,2.1
Total,Total,Germany,2012,1.9
Total,Total,Germany,2013,1.6
Total,Total,Germany,2014,1.9
Total,Total,Germany,2015,1.8
Total,Total,Germany,2016,1.9
Total,Total,Germany,2017,1.8
Total,Total,Germany,2018,2.3
Total,Total,Germany,2019,2.1
Total,Total,Germany,2020,1.2
Total,Total,Germany,2023,1.9
Total,Total,Estonia,2004,21.3
Total,Total,Estonia,2005,17.5
Total,Total,Estonia,2006,15.3
Total,Total,Estonia,2007,14.6
Total,Total,Estonia,2008,10.4
Total,Total,Estonia,2009,12.2
Total,Total,Estonia,2010,11.4
Total,Total,Estonia,2011,4.9
Total,Total,Estonia,2012,4.7
Total,Total,Estonia,2013,5.8
Total,Total,Estonia,2014,3.9
Total,Total,Estonia,2015,2.8
Total,Total,Estonia,2016,3.3
Total,Total,Estonia,2017,3.3
Total,Total,Estonia,2018,2.9
Total,Total,Estonia,2019,2.7
Total,Total,Estonia,2020,2.1
Total,Total,Estonia,2023,2.9
Total,Total,Ireland,2003,1.6
Total,Total,Ireland,2004,2.0
Total,Total,Ireland,2005,1.6
Total,Total,Ireland,2006,2.4
Total,Total,Ireland,2007,1.7
Total,Total,Ireland,2008,0.8
Total,Total,Ireland,2009,1.0
Total,Total,Ireland,2010,0.5
Total,Total,Ireland,2011,0.7
Total,Total,Ireland,2012,0.6
Total,Total,Ireland,2013,1.4
Total,Total,Ireland,2014,1.3
Total,Total,Ireland,2015,1.2
Total,Total,Ireland,2016,1.0
Total,Total,Ireland,2017,0.7
Total,Total,Ireland,2018,0.8
Total,Total,Ireland,2019,1.2
Total,Total,Ireland,2020,1.3
Total,Total,Greece,2003,9.6
Total,Total,Greece,2004,8.2
Total,Total,Greece,2005,9.1
Total,Total,Greece,2006,9.1
Total,Total,Greece,2007,8.5
Total,Total,Greece,2008,8.1
Total,Total,Greece,2009,7.6
Total,Total,Greece,2010,7.6
Total,Total,Greece,2011,7.2
Total,Total,Greece,2012,7.0
Total,Total,Greece,2013,7.0
Total,Total,Greece,2014,6.0
Total,Total,Greece,2015,6.7
Total,Total,Greece,2016,6.3
Total,Total,Greece,2017,6.0
Total,Total,Greece,2018,5.9
Total,Total,Greece,2019,6.0
Total,Total,Greece,2020,5.8
Total,Total,Greece,2023,6.9
Total,Total,Spain,2004,4.8
Total,Total,Spain,2005,2.9
Total,Total,Spain,2006,2.6
Total,Total,Spain,2007,2.6
Total,Total,Spain,2008,1.6
Total,Total,Spain,2009,1.8
Total,Total,Spain,2010,1.8
Total,Total,Spain,2011,2.1
Total,Total,Spain,2012,1.3
Total,Total,Spain,2013,1.8
Total,Total,Spain,2014,1.7
Total,Total,Spain,2015,1.5
Total,Total,Spain,2016,1.7
Total,Total,Spain,2017,1.0
Total,Total,Spain,2018,1.5
Total,Total,Spain,2019,1.7
Total,Total,Spain,2020,3.4
Total,Total,Spain,2023,2.9
Total,Total,France,2004,3.4
Total,Total,France,2005,3.0
Total,Total,France,2006,2.7
Total,Total,France,2007,3.3
Total,Total,France,2008,3.4
