freq,unit,na_item,geo,time,value
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),1995,20910.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),1996,21260.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),1997,21810.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),1998,22430.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),1999,23080.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2000,23930.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2001,24400.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2002,24610.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2003,24740.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2004,25280.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2005,25670.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2006,26500.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2007,27230.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2008,27310.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2009,26080.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2010,26600.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2011,27070.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2012,26820.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2013,26800.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2014,27210.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2015,27800.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2016,28280.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2017,29040.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2018,29590.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2019,30090.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2020,28450.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2021,30280.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2022,31160.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2023,31140.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2024,31400.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,European Union - 27 countries (from 2020),2025,31820.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),1995,24080.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),1996,24440.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),1997,25040.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),1998,25740.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),1999,26450.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2000,27400.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2001,27940.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2002,28060.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2003,28130.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2004,28630.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2005,28990.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2006,29830.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2007,30580.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2008,30570.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2009,29120.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2010,29660.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2011,30120.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2012,29780.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2013,29700.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2014,30090.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2015,30660.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2016,31150.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2017,31920.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2018,32430.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2019,32890.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2020,30870.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2021,32860.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2022,33900.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2023,33840.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2024,34030.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2025,34410.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),1995,24620.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),1996,24980.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),1997,25600.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),1998,26310.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),1999,27030.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2000,28000.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2001,28520.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2002,28640.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2003,28690.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2004,29200.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2005,29560.0
