geo,year,gdp_per_capita
Austria,1995,30290.0
Austria,1996,30920.0
Austria,1997,31540.0
Austria,1998,32610.0
Austria,1999,33770.0
Austria,2000,34760.0
Austria,2001,35090.0
Austria,2002,35430.0
Austria,2003,35680.0
Austria,2004,36360.0
Austria,2005,36950.0
Austria,2006,37970.0
Austria,2007,39270.0
Austria,2008,39710.0
Austria,2009,38200.0
Austria,2010,38800.0
Austria,2011,39800.0
Austria,2012,39870.0
Austria,2013,39540.0
Austria,2014,39520.0
Austria,2015,39640.0
Austria,2016,39970.0
Austria,2017,40620.0
Austria,2018,41430.0
Austria,2019,41970.0
Austria,2020,39140.0
Austria,2021,40910.0
Austria,2022,42610.0
Austria,2023,41910.0
Austria,2024,41420.0
Austria,2025,41650.0
Belgium,1995,28400.0
Belgium,1996,28720.0
Belgium,1997,29740.0
Belgium,1998,30260.0
Belgium,1999,31250.0
Belgium,2000,32340.0
Belgium,2001,32580.0
Belgium,2002,32990.0
Belgium,2003,33190.0
Belgium,2004,34230.0
Belgium,2005,34830.0
Belgium,2006,35480.0
Belgium,2007,36520.0
Belgium,2008,36400.0
Belgium,2009,35420.0
Belgium,2010,36040.0
Belgium,2011,36270.0
Belgium,2012,36120.0
Belgium,2013,36060.0
Belgium,2014,36530.0
Belgium,2015,36860.0
Belgium,2016,37110.0
Belgium,2017,37510.0
Belgium,2018,38040.0
Belgium,2019,38760.0
Belgium,2020,36740.0
Belgium,2021,38880.0
Belgium,2022,40120.0
Belgium,2023,40400.0
Belgium,2024,40600.0
Belgium,2025,40820.0
Bulgaria,1995,3630.0
Bulgaria,1996,3840.0
Bulgaria,1997,3320.0
Bulgaria,1998,3460.0
Bulgaria,1999,3190.0
Bulgaria,2000,3350.0
Bulgaria,2001,3600.0
Bulgaria,2002,3830.0
Bulgaria,2003,4050.0
Bulgaria,2004,4340.0
Bulgaria,2005,4670.0
Bulgaria,2006,5010.0
Bulgaria,2007,5380.0
Bulgaria,2008,5730.0
Bulgaria,2009,5570.0
Bulgaria,2010,5690.0
Bulgaria,2011,5960.0
Bulgaria,2012,6070.0
Bulgaria,2013,6130.0
Bulgaria,2014,6260.0
Bulgaria,2015,6560.0
Bulgaria,2016,6840.0
Bulgaria,2017,7130.0
Bulgaria,2018,7390.0
Bulgaria,2019,7780.0
Bulgaria,2020,7610.0
Bulgaria,2021,8260.0
Bulgaria,2022,8660.0
Bulgaria,2023,8830.0
Bulgaria,2024,9140.0
Bulgaria,2025,9440.0
Cyprus,1995,17530.0
Cyprus,1996,17470.0
Cyprus,1997,17680.0
Cyprus,1998,18530.0
Cyprus,1999,19240.0
Cyprus,2000,20180.0
Cyprus,2001,20750.0
Cyprus,2002,21270.0
Cyprus,2003,21570.0
Cyprus,2004,22350.0
Cyprus,2005,23100.0
Cyprus,2006,23790.0
Cyprus,2007,24480.0
Cyprus,2008,24740.0
Cyprus,2009,23600.0
Cyprus,2010,23510.0
Cyprus,2011,23020.0
Cyprus,2012,21930.0
Cyprus,2013,20510.0
Cyprus,2014,20170.0
Cyprus,2015,20810.0
Cyprus,2016,22060.0
Cyprus,2017,23130.0
Cyprus,2018,24300.0
Cyprus,2019,25390.0
Cyprus,2020,24240.0
Cyprus,2021,26600.0
Cyprus,2022,28390.0
Cyprus,2023,28860.0
Cyprus,2024,29480.0
Cyprus,2025,30110.0
Czechia,1995,10320.0
Czechia,1996,10770.0
