freq,statinfo,unit,isced11,life_sat,sex,age,geo,year,happy_rate
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Belgium,2013,8.1
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Belgium,2018,8.1
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Belgium,2021,8.0
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Belgium,2022,7.9
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Belgium,2023,8.0
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Belgium,2024,7.9
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Belgium,2025,7.9
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Bulgaria,2013,6.2
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Bulgaria,2018,6.9
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Bulgaria,2021,6.9
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Bulgaria,2022,6.6
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Bulgaria,2023,7.1
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Bulgaria,2024,7.4
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Bulgaria,2025,7.5
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Czechia,2013,8.1
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Czechia,2018,8.2
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Czechia,2021,8.1
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Czechia,2022,8.1
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Czechia,2023,8.2
Annual,Average,Rating (0-10),Tertiary education (levels 5-8),Life as a whole,Total,From 16 to 29 years,Czechia,2024,8.2
