freq,purchase,unit,geo,year,hpi_weight
Annual,Total,"Annual average index, 2010=100",Belgium,2005,79.53
Annual,Total,"Annual average index, 2010=100",Belgium,2006,87.33
Annual,Total,"Annual average index, 2010=100",Belgium,2007,94.11
Annual,Total,"Annual average index, 2010=100",Belgium,2008,98.2
Annual,Total,"Annual average index, 2010=100",Belgium,2009,97.8
Annual,Total,"Annual average index, 2010=100",Belgium,2010,100.0
Annual,Total,"Annual average index, 2010=100",Belgium,2011,103.58
Annual,Total,"Annual average index, 2010=100",Belgium,2012,106.02
Annual,Total,"Annual average index, 2010=100",Belgium,2013,107.59
Annual,Total,"Annual average index, 2010=100",Belgium,2014,107.23
Annual,Total,"Annual average index, 2010=100",Belgium,2015,109.17
Annual,Total,"Annual average index, 2010=100",Belgium,2016,111.72
Annual,Total,"Annual average index, 2010=100",Belgium,2017,115.67
Annual,Total,"Annual average index, 2010=100",Belgium,2018,119.16
Annual,Total,"Annual average index, 2010=100",Belgium,2019,123.62
Annual,Total,"Annual average index, 2010=100",Belgium,2020,128.92
Annual,Total,"Annual average index, 2010=100",Belgium,2021,137.52
Annual,Total,"Annual average index, 2010=100",Belgium,2022,145.12
Annual,Total,"Annual average index, 2010=100",Belgium,2023,148.52
Annual,Total,"Annual average index, 2010=100",Belgium,2024,153.3
Annual,Total,"Annual average index, 2010=100",Belgium,2025,158.15
Annual,Total,"Annual average index, 2010=100",Bulgaria,2005,75.69
Annual,Total,"Annual average index, 2010=100",Bulgaria,2006,86.82
Annual,Total,"Annual average index, 2010=100",Bulgaria,2007,111.92
Annual,Total,"Annual average index, 2010=100",Bulgaria,2008,139.86
Annual,Total,"Annual average index, 2010=100",Bulgaria,2009,111.32
Annual,Total,"Annual average index, 2010=100",Bulgaria,2010,100.0
Annual,Total,"Annual average index, 2010=100",Bulgaria,2011,94.49
Annual,Total,"Annual average index, 2010=100",Bulgaria,2012,92.69
Annual,Total,"Annual average index, 2010=100",Bulgaria,2013,90.65
Annual,Total,"Annual average index, 2010=100",Bulgaria,2014,91.95
Annual,Total,"Annual average index, 2010=100",Bulgaria,2015,94.52
Annual,Total,"Annual average index, 2010=100",Bulgaria,2016,101.15
Annual,Total,"Annual average index, 2010=100",Bulgaria,2017,109.91
Annual,Total,"Annual average index, 2010=100",Bulgaria,2018,117.16
Annual,Total,"Annual average index, 2010=100",Bulgaria,2019,124.21
Annual,Total,"Annual average index, 2010=100",Bulgaria,2020,129.87
Annual,Total,"Annual average index, 2010=100",Bulgaria,2021,141.14
Annual,Total,"Annual average index, 2010=100",Bulgaria,2022,160.6
Annual,Total,"Annual average index, 2010=100",Bulgaria,2023,176.43
Annual,Total,"Annual average index, 2010=100",Bulgaria,2024,205.54
Annual,Total,"Annual average index, 2010=100",Bulgaria,2025,235.56
Annual,Total,"Annual average index, 2010=100",Czechia,2008,105.9
Annual,Total,"Annual average index, 2010=100",Czechia,2009,101.8
Annual,Total,"Annual average index, 2010=100",Czechia,2010,100.0
Annual,Total,"Annual average index, 2010=100",Czechia,2011,100.0
Annual,Total,"Annual average index, 2010=100",Czechia,2012,98.6
Annual,Total,"Annual average index, 2010=100",Czechia,2013,98.6
Annual,Total,"Annual average index, 2010=100",Czechia,2014,101.0
Annual,Total,"Annual average index, 2010=100",Czechia,2015,105.1
Annual,Total,"Annual average index, 2010=100",Czechia,2016,112.5
Annual,Total,"Annual average index, 2010=100",Czechia,2017,125.8
Annual,Total,"Annual average index, 2010=100",Czechia,2018,136.5
Annual,Total,"Annual average index, 2010=100",Czechia,2019,149.0
Annual,Total,"Annual average index, 2010=100",Czechia,2020,161.6
Annual,Total,"Annual average index, 2010=100",Czechia,2021,193.5
Annual,Total,"Annual average index, 2010=100",Czechia,2022,226.1
Annual,Total,"Annual average index, 2010=100",Czechia,2023,222.3
Annual,Total,"Annual average index, 2010=100",Czechia,2024,233.5
Annual,Total,"Annual average index, 2010=100",Czechia,2025,257.8
Annual,Total,"Annual average index, 2010=100",Denmark,2005,91.47
Annual,Total,"Annual average index, 2010=100",Denmark,2006,113.49
Annual,Total,"Annual average index, 2010=100",Denmark,2007,116.53
Annual,Total,"Annual average index, 2010=100",Denmark,2008,110.51
Annual,Total,"Annual average index, 2010=100",Denmark,2009,97.28
Annual,Total,"Annual average index, 2010=100",Denmark,2010,100.0
Annual,Total,"Annual average index, 2010=100",Denmark,2011,98.3
Annual,Total,"Annual average index, 2010=100",Denmark,2012,95.65
Annual,Total,"Annual average index, 2010=100",Denmark,2013,99.37
Annual,Total,"Annual average index, 2010=100",Denmark,2014,103.12
Annual,Total,"Annual average index, 2010=100",Denmark,2015,110.31
Annual,Total,"Annual average index, 2010=100",Denmark,2016,115.35
Annual,Total,"Annual average index, 2010=100",Denmark,2017,121.07
Annual,Total,"Annual average index, 2010=100",Denmark,2018,126.4
Annual,Total,"Annual average index, 2010=100",Denmark,2019,129.21
