freq,citizen,agedef,age,unit,sex,geo,time,value
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2013,2901962.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2014,3187841.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2015,4097244.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2016,3735536.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2017,3766413.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2018,3936055.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2019,4206293.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2020,3279673.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2021,4132213.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2022,6997284.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2023,6011360.0
Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2024,5684984.0
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2013,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2014,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2015,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2016,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2017,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2018,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2019,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2020,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2021,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2022,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2023,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 21 countries (from 2026),2024,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2013,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2014,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2015,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2016,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2017,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2018,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2019,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2020,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2021,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2022,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2023,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area – 20 countries (2023-2025),2024,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2013,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2014,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2015,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2016,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2017,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2018,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2019,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2020,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2021,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2022,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2023,
Annual,Total,Age reached during the year,Total,Number,Total,Euro area - 19 countries  (2015-2022),2024,
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2013,120078.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2014,123158.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2015,146626.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2016,123702.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2017,126703.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2018,137860.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2019,150006.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2020,118683.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2021,139743.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2022,208356.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2023,169609.0
Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2024,162926.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2013,18570.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2014,26615.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2015,25223.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2016,21241.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2017,25597.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2018,29559.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2019,37929.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2020,37364.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2021,39461.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2022,40619.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2023,56807.0
Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2024,52189.0
