geo,year,crime_rate,noise_rate,pollution_rate,hpi_weight,happy_rate,deg_urb_Rural areas,deg_urb_Towns and suburbs,rskpovth_Below 60%,rskpovth_Total,crime_noise,poll_noise
Belgium,2013,37.3,30.5,33.2,1.5,8.1,False,False,True,False,1137.6499999999999,1012.6000000000001
Belgium,2018,28.2,32.6,34.7,3.0,8.1,False,False,True,False,919.32,1131.2200000000003
Belgium,2023,29.6,24.7,29.2,2.3,8.0,False,False,True,False,731.12,721.24
Bulgaria,2013,36.6,27.0,28.0,-2.2,6.2,False,False,True,False,988.2,756.0
Bulgaria,2018,28.8,17.5,24.1,6.6,6.9,False,False,True,False,504.0,421.75
Bulgaria,2023,33.1,19.6,30.4,9.9,7.1,False,False,True,False,648.7600000000001,595.84
Czechia,2013,30.5,25.0,29.6,0.0,8.1,False,False,True,False,762.5,740.0
Czechia,2018,12.3,22.6,18.8,8.6,8.2,False,False,True,False,277.98,424.88000000000005
Czechia,2023,15.8,21.5,15.1,-1.7,8.2,False,False,True,False,339.7,324.65
Denmark,2013,18.1,33.7,8.1,3.9,8.0,False,False,True,False,609.9700000000001,272.97
Denmark,2018,20.3,38.3,19.0,4.4,7.6,False,False,True,False,777.49,727.6999999999999
Denmark,2023,16.2,29.1,17.8,-3.8,7.5,False,False,True,False,471.42,517.98
Germany,2013,30.6,41.7,36.0,3.1,7.7,False,False,True,False,1276.0200000000002,1501.2
Germany,2018,29.2,41.0,38.4,6.6,8.0,False,False,True,False,1197.2,1574.3999999999999
Germany,2023,17.9,30.6,21.6,-8.4,7.5,False,False,True,False,547.74,660.96
Estonia,2013,18.1,14.3,12.1,10.7,7.6,False,False,True,False,258.83000000000004,173.03
Estonia,2018,9.3,11.3,11.2,5.9,7.9,False,False,True,False,105.09000000000002,126.56
Estonia,2023,5.8,11.1,8.0,5.9,7.7,False,False,True,False,64.38,88.8
Ireland,2013,25.3,12.6,8.1,1.2,7.5,False,False,True,False,318.78,102.05999999999999
Ireland,2018,23.7,14.5,11.8,10.2,8.4,False,False,True,False,343.65,171.10000000000002
Ireland,2023,16.6,17.0,4.9,3.1,7.7,False,False,True,False,282.20000000000005,83.30000000000001
Spain,2013,21.3,26.2,14.9,-9.1,7.5,False,False,True,False,558.0600000000001,390.38
Spain,2018,20.0,26.2,16.5,6.7,8.0,False,False,True,False,524.0,432.3
Spain,2023,22.9,31.5,16.7,4.0,7.6,False,False,True,False,721.3499999999999,526.05
France,2013,34.2,33.0,20.8,-1.9,7.6,False,False,True,False,1128.6000000000001,686.4
France,2018,24.2,30.8,24.7,2.9,7.8,False,False,True,False,745.36,760.76
France,2023,27.6,32.1,28.5,-0.4,7.6,False,False,True,False,885.96,914.85
Croatia,2013,2.7,16.7,13.0,-3.9,8.3,False,False,True,False,45.09,217.1
Croatia,2018,4.5,12.7,11.2,6.1,8.0,False,False,True,False,57.15,142.23999999999998
Croatia,2023,2.2,8.0,7.5,11.9,8.1,False,False,True,False,17.6,60.0
Italy,2013,25.2,30.4,30.9,-6.5,7.2,False,False,True,False,766.0799999999999,939.3599999999999
Italy,2018,20.1,19.8,18.2,-0.6,7.8,False,False,True,False,397.98,360.36
Italy,2023,9.8,12.7,11.6,1.3,7.6,False,False,True,False,124.46000000000001,147.32
Cyprus,2013,9.0,30.7,15.9,-4.1,6.7,False,False,True,False,276.3,488.13
Cyprus,2018,9.4,23.8,9.4,-1.3,7.7,False,False,True,False,223.72000000000003,223.72000000000003
Cyprus,2023,6.9,21.8,10.2,9.2,7.9,False,False,True,False,150.42000000000002,222.35999999999999
Latvia,2013,16.8,20.2,19.1,6.9,7.6,False,False,True,False,339.36,385.82
Latvia,2018,15.5,23.0,26.0,9.6,7.8,False,False,True,False,356.5,598.0
Latvia,2023,10.2,17.8,19.1,3.7,7.4,False,False,True,False,181.56,339.98
Lithuania,2013,12.3,25.7,25.8,1.2,8.2,False,False,True,False,316.11,663.06
Lithuania,2018,5.1,16.2,21.6,7.3,7.3,False,False,True,False,82.61999999999999,349.92
Lithuania,2023,7.8,17.6,13.3,9.8,7.9,False,False,True,False,137.28,234.08000000000004
Luxembourg,2013,11.8,36.1,21.0,5.0,8.1,False,False,True,False,425.98,758.1
Luxembourg,2018,27.0,31.3,14.0,7.1,7.9,False,False,True,False,845.1,438.2
Luxembourg,2023,26.7,55.9,13.0,-9.1,7.5,False,False,True,False,1492.53,726.6999999999999
Hungary,2013,22.0,22.7,18.5,-2.6,7.4,False,False,True,False,499.4,419.95
Hungary,2018,16.0,18.3,20.7,14.3,7.8,False,False,True,False,292.8,378.81
Hungary,2023,7.9,12.5,15.4,7.1,8.0,False,False,True,False,98.75,192.5
Malta,2013,12.2,29.7,41.3,-0.4,7.7,False,False,True,False,362.34,1226.61
Malta,2018,14.7,29.2,32.3,5.8,7.8,False,False,True,False,429.23999999999995,943.1599999999999
Malta,2023,6.8,36.2,43.1,6.2,7.6,False,False,True,False,246.16000000000003,1560.2200000000003
Netherlands,2013,21.5,39.7,21.8,-6.0,8.0,False,False,True,False,853.5500000000001,865.46
Netherlands,2018,23.9,44.4,23.0,9.3,7.7,False,False,True,False,1061.1599999999999,1021.1999999999999
Netherlands,2023,24.6,43.6,21.7,-1.9,7.6,False,False,True,False,1072.5600000000002,946.12
Austria,2013,20.3,27.6,19.2,5.0,8.3,False,False,True,False,560.2800000000001,529.92
Austria,2018,10.8,20.8,11.9,6.0,8.5,False,False,True,False,224.64000000000001,247.52
Austria,2023,10.9,24.1,9.7,-2.9,7.9,False,False,True,False,262.69,233.77
Poland,2013,22.6,23.8,23.2,-4.4,8.0,False,False,True,False,537.88,552.16
Poland,2018,12.0,20.8,17.7,6.6,8.3,False,False,True,False,249.60000000000002,368.16
Poland,2023,7.9,17.8,13.0,8.8,8.0,False,False,True,False,140.62,231.4
Portugal,2013,20.3,31.0,20.4,-1.9,7.2,False,False,True,False,629.3000000000001,632.4
Portugal,2018,9.5,30.3,18.7,10.3,7.9,False,False,True,False,287.85,566.61
Portugal,2023,11.8,42.3,20.0,8.2,7.8,False,False,True,False,499.14,846.0
Romania,2013,15.4,17.2,19.6,-0.3,7.9,False,False,True,False,264.88,337.12
Romania,2018,15.8,28.6,21.2,5.6,8.6,False,False,True,False,451.88000000000005,606.32
Romania,2023,2.7,19.9,20.8,3.3,8.6,False,False,True,False,53.73,413.91999999999996
Slovenia,2013,18.0,18.0,19.8,-5.2,7.8,False,False,True,False,324.0,356.40000000000003
Slovenia,2018,7.8,14.4,15.1,8.7,8.4,False,False,True,False,112.32,217.44
Slovenia,2023,11.6,23.7,19.0,7.2,8.4,False,False,True,False,274.91999999999996,450.3
Slovakia,2013,8.9,19.8,8.2,0.8,7.9,False,False,True,False,176.22000000000003,162.35999999999999
Slovakia,2018,1.9,5.8,4.6,7.4,8.2,False,False,True,False,11.02,26.679999999999996
Slovakia,2023,25.6,33.5,30.8,-0.2,8.3,False,False,True,False,857.6,1031.8
Finland,2013,14.2,24.5,12.4,1.2,8.5,False,False,True,False,347.9,303.8
Finland,2018,13.9,25.4,13.3,0.9,8.3,False,False,True,False,353.06,337.82
Finland,2023,19.7,42.5,13.1,-6.2,7.7,False,False,True,False,837.25,556.75
Sweden,2013,22.4,19.7,13.6,5.2,7.9,False,False,True,False,441.28,267.91999999999996
Sweden,2018,20.0,22.1,9.7,-0.9,7.8,False,False,True,False,442.0,214.37
Sweden,2023,13.9,16.4,8.9,-5.2,7.5,False,False,True,False,227.95999999999998,145.95999999999998
Iceland,2013,3.2,20.0,11.0,5.8,8.2,False,False,True,False,64.0,220.0
Iceland,2018,8.0,17.4,10.2,8.2,8.5,False,False,True,False,139.2,177.47999999999996
Norway,2013,10.8,22.9,10.6,4.3,8.0,False,False,True,False,247.32,242.73999999999998
Norway,2018,8.5,24.0,10.9,1.6,7.9,False,False,True,False,204.0,261.6
Norway,2023,12.5,22.9,11.0,1.3,7.7,False,False,True,False,286.25,251.89999999999998
Switzerland,2018,13.1,24.7,15.2,3.0,8.0,False,False,True,False,323.57,375.44
Switzerland,2023,10.8,29.3,14.6,2.2,7.7,False,False,True,False,316.44000000000005,427.78
United Kingdom,2013,23.3,23.9,12.4,2.6,7.5,False,False,True,False,556.87,296.36
United Kingdom,2018,31.5,24.6,15.8,3.3,7.7,False,False,True,False,774.9000000000001,388.68000000000006
Belgium,2013,30.2,22.9,26.4,1.5,8.1,False,False,False,False,691.5799999999999,604.56
Belgium,2018,18.8,23.0,24.6,3.0,8.1,False,False,False,False,432.40000000000003,565.8000000000001
Belgium,2023,21.3,19.9,22.8,2.3,8.0,False,False,False,False,423.87,453.71999999999997
Bulgaria,2013,31.7,13.9,17.3,-2.2,6.2,False,False,False,False,440.63,240.47000000000003
Bulgaria,2018,27.9,12.3,18.4,6.6,6.9,False,False,False,False,343.17,226.32
Bulgaria,2023,20.7,12.0,12.7,9.9,7.1,False,False,False,False,248.39999999999998,152.39999999999998
Czechia,2013,16.5,16.4,18.7,0.0,8.1,False,False,False,False,270.59999999999997,306.67999999999995
Czechia,2018,12.5,19.4,16.6,8.6,8.2,False,False,False,False,242.49999999999997,322.04
Czechia,2023,11.6,19.9,12.7,-1.7,8.2,False,False,False,False,230.83999999999997,252.72999999999996
Denmark,2013,15.1,23.4,10.4,3.9,8.0,False,False,False,False,353.34,243.35999999999999
Denmark,2018,11.8,24.6,12.0,4.4,7.6,False,False,False,False,290.28000000000003,295.20000000000005
Denmark,2023,9.9,23.3,9.4,-3.8,7.5,False,False,False,False,230.67000000000002,219.02
Germany,2013,21.2,32.7,31.8,3.1,7.7,False,False,False,False,693.24,1039.8600000000001
Germany,2018,21.6,34.3,36.1,6.6,8.0,False,False,False,False,740.88,1238.23
Germany,2023,17.0,30.0,22.5,-8.4,7.5,False,False,False,False,510.0,675.0
Estonia,2013,14.9,16.1,11.7,10.7,7.6,False,False,False,False,239.89000000000001,188.37
Estonia,2018,8.5,10.4,9.7,5.9,7.9,False,False,False,False,88.4,100.88
Estonia,2023,6.9,13.0,8.1,5.9,7.7,False,False,False,False,89.7,105.3
