rskpovth,sex,geo,year,deprivation_rate,citizen,agedef,immigration_count,overburden_rate,log_immigration,immigration_lag1
Below 60%,Total,Austria,2013,11.0,Total,Age in completed years,101866.0,39.1,11.531423319852347,11.531423319852347
Above 60%,Total,Austria,2013,2.7,Total,Age in completed years,101866.0,1.8,11.531423319852347,11.531423319852347
Total,Total,Austria,2014,3.7,Total,Age in completed years,116262.0,6.6,11.663610145154312,11.531423319852347
Below 60%,Total,Austria,2014,9.3,Total,Age in completed years,116262.0,36.7,11.663610145154312,11.663610145154312
Above 60%,Total,Austria,2014,2.8,Total,Age in completed years,116262.0,1.6,11.663610145154312,11.663610145154312
Total,Total,Austria,2015,4.3,Total,Age in completed years,166323.0,6.4,12.021692972266747,11.663610145154312
Below 60%,Total,Austria,2015,11.4,Total,Age in completed years,166323.0,34.8,12.021692972266747,12.021692972266747
Above 60%,Total,Austria,2015,3.1,Total,Age in completed years,166323.0,1.8,12.021692972266747,12.021692972266747
Total,Total,Austria,2016,4.2,Total,Age in completed years,129509.0,7.2,11.771513377217634,12.021692972266747
Below 60%,Total,Austria,2016,10.3,Total,Age in completed years,129509.0,38.8,11.771513377217634,11.771513377217634
Above 60%,Total,Austria,2016,3.2,Total,Age in completed years,129509.0,2.0,11.771513377217634,11.771513377217634
Total,Total,Austria,2017,4.4,Total,Age in completed years,111801.0,7.1,11.624484728630785,11.771513377217634
Below 60%,Total,Austria,2017,10.9,Total,Age in completed years,111801.0,40.3,11.624484728630785,11.624484728630785
Above 60%,Total,Austria,2017,3.3,Total,Age in completed years,111801.0,1.5,11.624484728630785,11.624484728630785
Total,Total,Austria,2018,3.2,Total,Age in completed years,105633.0,6.8,11.567735568130148,11.624484728630785
Below 60%,Total,Austria,2018,10.6,Total,Age in completed years,105633.0,36.5,11.567735568130148,11.567735568130148
Above 60%,Total,Austria,2018,1.9,Total,Age in completed years,105633.0,1.9,11.567735568130148,11.567735568130148
Total,Total,Austria,2019,3.0,Total,Age in completed years,109167.0,7.0,11.600643259055206,11.567735568130148
Below 60%,Total,Austria,2019,6.0,Total,Age in completed years,109167.0,40.8,11.600643259055206,11.600643259055206
Above 60%,Total,Austria,2019,2.5,Total,Age in completed years,109167.0,1.9,11.600643259055206,11.600643259055206
Total,Total,Austria,2020,3.0,Total,Age in completed years,103565.0,6.3,11.547964369614744,11.600643259055206
Below 60%,Total,Austria,2020,6.3,Total,Age in completed years,103565.0,37.1,11.547964369614744,11.547964369614744
Above 60%,Total,Austria,2020,2.4,Total,Age in completed years,103565.0,1.4,11.547964369614744,11.547964369614744
