freq,unit,deg_urb,rskpovth,geo,year,pollution_rate
Annual,Percentage,Cities,Below 60%,Belgium,2003,21.3
Annual,Percentage,Cities,Below 60%,Belgium,2004,26.6
Annual,Percentage,Cities,Below 60%,Belgium,2005,25.1
Annual,Percentage,Cities,Below 60%,Belgium,2006,22.6
Annual,Percentage,Cities,Below 60%,Belgium,2007,26.8
Annual,Percentage,Cities,Below 60%,Belgium,2008,26.1
Annual,Percentage,Cities,Below 60%,Belgium,2009,28.0
Annual,Percentage,Cities,Below 60%,Belgium,2010,24.9
Annual,Percentage,Cities,Below 60%,Belgium,2011,28.7
Annual,Percentage,Cities,Below 60%,Belgium,2012,31.9
Annual,Percentage,Cities,Below 60%,Belgium,2013,33.2
Annual,Percentage,Cities,Below 60%,Belgium,2014,33.9
Annual,Percentage,Cities,Below 60%,Belgium,2015,29.7
Annual,Percentage,Cities,Below 60%,Belgium,2016,31.8
Annual,Percentage,Cities,Below 60%,Belgium,2017,28.8
Annual,Percentage,Cities,Below 60%,Belgium,2018,34.7
Annual,Percentage,Cities,Below 60%,Belgium,2019,27.5
Annual,Percentage,Cities,Below 60%,Belgium,2020,28.8
Annual,Percentage,Cities,Below 60%,Belgium,2023,29.2
Annual,Percentage,Cities,Below 60%,Bulgaria,2005,51.6
Annual,Percentage,Cities,Below 60%,Bulgaria,2006,51.6
Annual,Percentage,Cities,Below 60%,Bulgaria,2007,47.2
Annual,Percentage,Cities,Below 60%,Bulgaria,2008,37.5
Annual,Percentage,Cities,Below 60%,Bulgaria,2009,37.0
Annual,Percentage,Cities,Below 60%,Bulgaria,2010,37.4
Annual,Percentage,Cities,Below 60%,Bulgaria,2011,35.9
Annual,Percentage,Cities,Below 60%,Bulgaria,2012,30.5
Annual,Percentage,Cities,Below 60%,Bulgaria,2013,28.0
Annual,Percentage,Cities,Below 60%,Bulgaria,2014,35.0
Annual,Percentage,Cities,Below 60%,Bulgaria,2015,32.7
Annual,Percentage,Cities,Below 60%,Bulgaria,2016,30.7
Annual,Percentage,Cities,Below 60%,Bulgaria,2017,34.3
Annual,Percentage,Cities,Below 60%,Bulgaria,2018,24.1
Annual,Percentage,Cities,Below 60%,Bulgaria,2019,23.0
Annual,Percentage,Cities,Below 60%,Bulgaria,2020,26.0
Annual,Percentage,Cities,Below 60%,Bulgaria,2023,30.4
Annual,Percentage,Cities,Below 60%,Czechia,2005,22.8
Annual,Percentage,Cities,Below 60%,Czechia,2006,43.5
Annual,Percentage,Cities,Below 60%,Czechia,2007,36.2
Annual,Percentage,Cities,Below 60%,Czechia,2008,31.1
Annual,Percentage,Cities,Below 60%,Czechia,2009,34.4
Annual,Percentage,Cities,Below 60%,Czechia,2010,30.5
Annual,Percentage,Cities,Below 60%,Czechia,2011,28.5
Annual,Percentage,Cities,Below 60%,Czechia,2012,22.4
Annual,Percentage,Cities,Below 60%,Czechia,2013,29.6
Annual,Percentage,Cities,Below 60%,Czechia,2014,23.2
Annual,Percentage,Cities,Below 60%,Czechia,2015,35.5
Annual,Percentage,Cities,Below 60%,Czechia,2016,33.0
Annual,Percentage,Cities,Below 60%,Czechia,2017,20.7
Annual,Percentage,Cities,Below 60%,Czechia,2018,18.8
Annual,Percentage,Cities,Below 60%,Czechia,2019,25.3
Annual,Percentage,Cities,Below 60%,Czechia,2020,17.9
Annual,Percentage,Cities,Below 60%,Czechia,2023,15.1
Annual,Percentage,Cities,Below 60%,Denmark,2003,16.0
Annual,Percentage,Cities,Below 60%,Denmark,2004,18.7
Annual,Percentage,Cities,Below 60%,Denmark,2005,18.8
Annual,Percentage,Cities,Below 60%,Denmark,2006,17.8
Annual,Percentage,Cities,Below 60%,Denmark,2007,21.9
Annual,Percentage,Cities,Below 60%,Denmark,2008,16.5
Annual,Percentage,Cities,Below 60%,Denmark,2009,18.2
Annual,Percentage,Cities,Below 60%,Denmark,2010,10.2
Annual,Percentage,Cities,Below 60%,Denmark,2011,14.4
