geo,year,population_density
Belgium,2013,368.0
Belgium,2014,369.6
Belgium,2015,371.8
Belgium,2016,373.7
Belgium,2017,373.6
Belgium,2018,375.3
Belgium,2019,377.3
Belgium,2020,377.3
Belgium,2021,378.9
Belgium,2022,383.6
Belgium,2023,386.8
Belgium,2024,389.1
Bulgaria,2013,66.7
Bulgaria,2014,66.3
Bulgaria,2015,66.2
Bulgaria,2016,64.8
Bulgaria,2017,64.3
Bulgaria,2018,63.9
Bulgaria,2019,63.4
Bulgaria,2020,63.4
Bulgaria,2021,63.0
Bulgaria,2022,58.8
Bulgaria,2023,58.6
Bulgaria,2024,58.6
Czechia,2013,136.1
Czechia,2014,136.3
Czechia,2015,136.6
Czechia,2016,136.8
Czechia,2017,137.2
Czechia,2018,137.7
Czechia,2019,138.2
Czechia,2020,138.2
Czechia,2021,138.6
Czechia,2022,138.2
Czechia,2023,140.7
Czechia,2024,141.2
Denmark,2013,130.8
Denmark,2014,131.5
Denmark,2015,132.4
Denmark,2016,136.4
Denmark,2017,137.3
Denmark,2018,138.0
Denmark,2019,138.5
Denmark,2020,138.5
Denmark,2021,138.9
Denmark,2022,140.6
Denmark,2023,141.6
Denmark,2024,142.4
Germany,2013,225.8
Germany,2014,226.5
Germany,2015,228.4
Germany,2016,233.1
Germany,2017,234.0
Germany,2018,234.7
Germany,2019,235.2
Germany,2020,235.2
Germany,2021,235.4
Germany,2022,235.4
Germany,2023,235.8
Germany,2024,236.4
Estonia,2013,30.3
Estonia,2014,30.3
Estonia,2015,30.3
Estonia,2016,30.3
Estonia,2017,30.3
Estonia,2018,30.4
Estonia,2019,30.5
Estonia,2020,30.5
Estonia,2021,30.6
Estonia,2022,31.3
Estonia,2023,31.8
Estonia,2024,31.8
Ireland,2013,67.6
Ireland,2014,67.8
Ireland,2015,68.5
Ireland,2016,69.3
Ireland,2017,70.0
Ireland,2018,70.9
Ireland,2019,71.9
Ireland,2020,71.9
Ireland,2021,72.6
Ireland,2022,75.9
Ireland,2023,77.4
Ireland,2024,78.6
Greece,2013,83.0
Greece,2014,82.5
Greece,2015,82.7
Greece,2016,82.4
Greece,2017,82.2
Greece,2018,82.5
Greece,2019,82.4
Greece,2020,82.4
Greece,2021,82.3
Greece,2022,80.3
Greece,2023,80.0
Greece,2024,79.8
Spain,2013,92.9
Spain,2014,92.5
Spain,2015,92.5
Spain,2016,92.5
Spain,2017,92.7
Spain,2018,93.1
Spain,2019,93.8
Spain,2020,93.8
Spain,2021,94.2
Spain,2022,95.1
Spain,2023,96.2
Spain,2024,97.2
France,2013,103.9
France,2014,104.6
France,2015,105.1
France,2016,105.3
