date,predicted_price_eur_mwh
2026-05-26,108.22
2026-05-27,120.34
2026-05-28,123.77
2026-05-29,122.7
2026-05-30,117.35
2026-05-31,96.25
2026-06-01,79.84
2026-06-02,120.37
2026-06-03,133.68
2026-06-04,138.31
2026-06-05,138.11
2026-06-06,133.34
2026-06-07,112.81
2026-06-08,96.74
2026-06-09,133.26
2026-06-10,143.09
2026-06-11,145.58
2026-06-12,143.75
2026-06-13,137.8
2026-06-14,116.48
2026-06-15,99.86
2026-06-16,135.88
2026-06-17,145.25
2026-06-18,147.35
2026-06-19,145.19
2026-06-20,138.96
2026-06-21,117.42
2026-06-22,100.63
2026-06-23,136.51
2026-06-24,145.76
