date,predicted_price_eur_mwh
2026-05-26,108.32
2026-05-27,115.17
2026-05-28,114.56
2026-05-29,112.28
2026-05-30,106.73
2026-05-31,85.11
2026-06-01,69.94
2026-06-02,111.66
2026-06-03,120.83
2026-06-04,122.57
2026-06-05,121.74
2026-06-06,117.22
2026-06-07,96.58
2026-06-08,82.03
2026-06-09,120.81
2026-06-10,127.85
2026-06-11,128.48
2026-06-12,126.88
2026-06-13,121.85
2026-06-14,100.92
2026-06-15,86.09
2026-06-16,124.45
2026-06-17,131.03
2026-06-18,131.27
2026-06-19,129.31
2026-06-20,123.99
2026-06-21,102.83
2026-06-22,87.8
2026-06-23,125.98
2026-06-24,132.4
