currency,prod_veg,geo,year,selling_price,temperature_2m_mean,precipitation_sum,price_lag1,price_lag2
Euro,Durum wheat,Austria,2017,18.24,11.234794520547943,527.5,17.88,25.47
Euro,Durum wheat,Austria,2018,18.27,12.166027397260274,614.9,18.24,17.88
Euro,Durum wheat,Austria,2019,20.03,12.056712328767125,614.0,18.27,18.24
Euro,Durum wheat,Austria,2020,23.1,11.448087431693988,739.5,20.03,18.27
Euro,Durum wheat,Austria,2021,31.78,10.806849315068494,643.6,23.1,20.03
Euro,Durum wheat,Austria,2022,41.64,11.750410958904109,666.2,31.78,23.1
Euro,Durum wheat,Austria,2023,28.72,12.194246575342463,767.8,41.64,31.78
Euro,Durum wheat,Austria,2024,24.29,12.65737704918033,741.9,28.72,41.64
Euro,Feed barley,Austria,2017,11.6,11.234794520547943,527.5,10.23,11.8
Euro,Feed barley,Austria,2018,13.69,12.166027397260274,614.9,11.6,10.23
Euro,Feed barley,Austria,2019,12.31,12.056712328767125,614.0,13.69,11.6
Euro,Feed barley,Austria,2020,12.08,11.448087431693988,739.5,12.31,13.69
Euro,Feed barley,Austria,2021,17.23,10.806849315068494,643.6,12.08,12.31
Euro,Feed barley,Austria,2022,24.19,11.750410958904109,666.2,17.23,12.08
Euro,Feed barley,Austria,2023,14.85,12.194246575342463,767.8,24.19,17.23
Euro,Feed barley,Austria,2024,13.79,12.65737704918033,741.9,14.85,24.19
Euro,Rye,Austria,2017,15.7,11.234794520547943,527.5,12.52,12.12
Euro,Rye,Austria,2018,14.98,12.166027397260274,614.9,15.7,12.52
Euro,Rye,Austria,2019,12.74,12.056712328767125,614.0,14.98,15.7
Euro,Rye,Austria,2020,11.76,11.448087431693988,739.5,12.74,14.98
Euro,Rye,Austria,2021,22.15,10.806849315068494,643.6,11.76,12.74
Euro,Rye,Austria,2022,27.48,11.750410958904109,666.2,22.15,11.76
Euro,Rye,Austria,2023,14.92,12.194246575342463,767.8,27.48,22.15
Euro,Rye,Austria,2024,14.96,12.65737704918033,741.9,14.92,27.48
Euro,Soft wheat,Austria,2017,14.46,11.234794520547943,527.5,11.55,13.72
Euro,Soft wheat,Austria,2018,15.41,12.166027397260274,614.9,14.46,11.55
Euro,Soft wheat,Austria,2019,14.63,12.056712328767125,614.0,15.41,14.46
Euro,Soft wheat,Austria,2020,14.88,11.448087431693988,739.5,14.63,15.41
Euro,Soft wheat,Austria,2021,22.65,10.806849315068494,643.6,14.88,14.63
Euro,Soft wheat,Austria,2022,28.05,11.750410958904109,666.2,22.65,14.88
Euro,Soft wheat,Austria,2023,17.9,12.194246575342463,767.8,28.05,22.65
Euro,Soft wheat,Austria,2024,17.6,12.65737704918033,741.9,17.9,28.05
Euro,Barley,Belgium,2017,13.22,11.116712328767123,736.2,11.82,14.23
Euro,Barley,Belgium,2018,17.76,11.602739726027398,630.6,13.22,11.82
Euro,Barley,Belgium,2019,14.12,11.308493150684932,787.9,17.76,13.22
