BAS.INSTNAME,BAS.INSTNAMEENGL,GEO.SUBCOUNTRY,GEO.CITY,EXP.CURRPERSON.EURO,EXP.CURRNONPERSON.EURO,EXP.CURRTOTAL.EURO,REV.COREBUDGETPUBLIC.EURO,REV.CORETOTAL.EURO,REV.THIRDPARTYPUBLIC.EURO,REV.THIRDPARTYPRIVATE.EURO,REV.TUITFEES,REV.STUDFEES.EURO,PERS.ACAHCMEN,PERS.ACAHCWOMEN,PERS.ACAHCSENIORTOTAL,PERS.TOTALFTE,STUD.HIGHDEG,IND.RES.PHDINTENSITY
UniversitÃ¤t Wien,University of Vienna,a,Vienna,520378006.53000003,236841071.58999997,757219078.12,618382333.16,618382333.16,,,1,17131218.28,2517,2133,557,6378.5469,3,0.052991840144220335
UniversitÃ¤t Graz,University of Graz,a,Graz,212660260.34000003,90597029.80000001,303257290.14000005,255172805.74,255172805.74,,,1,3628120.01,1085,1013,244,2738.7869,3,0.05846206511696926
UniversitÃ¤t Innsbruck,University of Innsbruck,a,Innsbruck,269145061,113138287.35000001,382283348.35,306037392.09,306037392.09,,,1,3890197.44,1272,870,307,3122.686,3,0.06086301190176816
UniversitÃ¤t Salzburg,University of Salzburg,a,Salzburg,140793001.98,52784047.830000006,193577049.81,171657274.94,171657274.94,,,1,2669432.9,626,563,161,1730.8032,3,0.061555851082229066
Technische UniversitÃ¤t Wien,Vienna University of Technology,a,Vienna,292484330.41999996,170719627.69,463203958.10999995,348491228.32,348491228.32,,,1,7284097.67,1315,497,230,3929.7488,3,0.10225208863058481
Technische UniversitÃ¤t Graz,Graz University of Technology,a,Graz,201431473.7,102307513.69,303738987.39,202361258.58,202361258.58,,,1,3193395.39,794,235,154,2637.8773,3,0.1297334748480102
MontanuniversitÃ¤t Leoben,University of Leoben,a,Leoben,69097018.89999999,32689421.65,101786440.54999998,69015777.18,69015777.18,,,1,797398.87,329,90,55,932.2882,3,0.12944664031620554
UniversitÃ¤t fÃ¼r Bodenkultur Wien,University of Natural Resources and Life Sciences,,,,,,,,,,,,,,,,,
VeterinÃ¤rmedizinische UniversitÃ¤t Wien,University of Veterinary Medicine Vienna,a,Vienna,90071085.91,60508972.120000005,150580058.03,128411205.87,128411205.87,,,1,214874.11,198,315,42,1155.4197,3,0.19452811244979917
WirtschaftsuniversitÃ¤t Wien,Vienna University of Economics and Business,a,Vienna,129364331.58999999,100620009.73,229984341.32,154590656.13,154590656.13,,,1,3392025.05,705,505,126,1515.9303,3,0.028430682617874736
UniversitÃ¤t Linz,University of Linz,a,Linz,168748829,69328191.22,238077020.22,187895053.12,187895053.12,,,1,4090152.98,1106,638,176,2130.8351,3,0.06027330595734659
UniversitÃ¤t Klagenfurt,University of Klagenfurt,a,Klagenfurt,70249220.93,15874466.6,86123687.53,81781678.57,81781678.57,,,1,1384511.44,436,368,74,884.1888,3,0.03600392851515226
UniversitÃ¤t fÃ¼r Weiterbildung Krems,University for Continuing Education Krems,a,Krems an der Donau,50145689.790000014,12967589.940000001,63113279.73000002,25891013,25891013,,,1,20135148.24,625,412,30,608.898,3,s
Medizinische UniversitÃ¤t Wien,Medical University of Vienna,a,Vienna,558931798.0300001,146541905.98,705473704.0100001,562856349.07,562856349.07,,,1,1022496.65,1267,1024,134,4841.86,3,0.17539893617021277
Medizinische UniversitÃ¤t Graz,Medical University of Graz,a,Graz,197976796.54999998,154349910.07000002,352326706.62,272673761.87,272673761.87,,,1,440571.78,442,398,94,2074.5977,3,0.15190090169295858
Medizinische UniversitÃ¤t Innsbruck,Medical University of Innsbruck,a,Innsbruck,166903659.44,109019598.64999999,275923258.09,217314616.52,217314616.52,,,1,436366.56,333,251,97,1720.2657,3,0.1318181818181818
Akademie der bildenden KÃ¼nste Wien,Academy of Fine Arts Vienna,a,Vienna,26604767.62,15879641.95,42484409.57,37777841.06,37777841.06,,,1,460341.62,105,185,40,344.3375,3,0.12186379928315412
UniversitÃ¤t fÃ¼r angewandte Kunst Wien,University of Applied Arts Vienna,a,Vienna,42246651.559999995,20983282.680000003,63229934.239999995,58301178.24,58301178.24,,,1,362953.53,242,279,48,523.7976,3,0.04933586337760911
UniversitÃ¤t fÃ¼r Musik und darstellende Kunst Wien,University of Music and Performing Arts in Vienna,a,Vienna,91449371.05999999,30945851.26,122395222.32,118878513.02,118878513.02,,,1,745822.89,560,433,187,989.8833,3,s
UniversitÃ¤t Mozarteum Salzburg,University Mozarteum Salzburg,a,Salzburg,49289379.84000001,18636684.569999997,67926064.41000001,65142830.2,65142830.2,,,1,425187.94,294,245,114,518.7885,3,s
UniversitÃ¤t fÃ¼r Musik und darstellende Kunst Graz,University of Music and Performing Arts Graz,a,Graz,48914237.81,15757244.92,64671482.730000004,63977546.18,63977546.18,,,1,390183.86,291,184,123,509.4106,3,0.03057530396390662
UniversitÃ¤t fÃ¼r kÃ¼nstlerische und industrielle Gestaltung Linz,University of Art and Design Linz,a,Linz,20730639.000000004,10672292.739999998,31402931.740000002,28942909,28942909,,,1,371372.27,182,208,44,266.6445,3,0.0626835631160797
Katholische PrivatuniversitÃ¤t Linz,Catholic Private University Linz,a,Linz,,,,,,,,,,35,43,0,63.95,3,s
UMIT TIROL - PrivatuniversitÃ¤t fÃ¼r Gesundheitswissenschaften und -technologie,Private University for Health Sciences,,,,,,,,,,,,,,,,,
Paracelsus Medizinische PrivatuniversitÃ¤t,Paracelsus Medical University,a,Salzburg,,,,,,,,,,802,786,0,244.08,3,0.07459207459207459
Anton Bruckner PrivatuniversitÃ¤t,Anton Bruckner Private University,a,Linz,,,,,,,,,,131,80,0,165.52,3,s
Sigmund Freud PrivatuniversitÃ¤t Wien,Sigmund Freud Private University Vienna,a,Vienna,,,,,,,,,,968,832,0,458.54,3,0.018997574777687955
MODUL University Vienna PrivatuniversitÃ¤t,MODUL University Vienna Private University,a,Vienna,,,,,,,,,,37,22,0,107.23,3,s
