name,domains,web_pages,country,alpha_two_code,state-province
Hellenic College of Noah,['noah.edu.gr'],['https://noah.edu.gr/'],Greece,GR,Macedonia
Wroclaw Akademia Biznesu,"['student.wab.edu.pl', 'wab.edu.pl']",['https://wab.edu.pl/'],Poland,PL,
National Institute of Applied Sciences of Toulouse,['insa-toulouse.fr'],['https://insa-toulouse.fr/'],France,FR,
IÉSEG School of Management,['ieseg.fr'],['https://ieseg.fr/'],France,FR,
Central Supélec,['centralesupelec.fr'],['https://www.centralesupelec.fr/'],France,FR,
Académie de Paris,['ac-paris.fr'],['https://www.ac-paris.fr/'],France,FR,
Académie d'Aix-Marseille,['ac-aix-marseille.fr'],['https://www.ac-aix-marseille.fr/'],France,FR,
Académie de Créteil,['ac-creteil.fr'],['https://www.ac-creteil.fr/'],France,FR,
Akademie der bildenden Künste Wien,['akbild.ac.at'],['http://www.akbild.ac.at/'],Austria,AT,
Universität für Bodenkultur Wien,['boku.ac.at'],['http://www.boku.ac.at/'],Austria,AT,
Donau-Universität Krems,['donau-uni.ac.at'],['http://www.donau-uni.ac.at/'],Austria,AT,
Fachhochschule Burgenland,['fh-burgenland.at'],['http://www.fh-burgenland.at/'],Austria,AT,
Fachhochschulstudiengänge Hagenberg,['fh-hagenberg.at'],['http://www.fh-hagenberg.at/'],Austria,AT,
Fachhochschule JOANNEUM,['fh-joanneum.at'],['http://www.fh-joanneum.at/'],Austria,AT,
Fachhochschule Kärnten,['fh-kaernten.ac.at'],['http://www.fh-kaernten.ac.at/'],Austria,AT,
Fachhochschule Krems,['fh-krems.ac.at'],['http://www.fh-krems.ac.at/'],Austria,AT,
Fachhochschule Kufstein (Tirol),['fh-kufstein.ac.at'],['http://www.fh-kufstein.ac.at/'],Austria,AT,
Fachhochschule Salzburg,['fh-sbg.ac.at'],['http://www.fh-sbg.ac.at/'],Austria,AT,
Fachhochschulstudiengänge Steyr,['fh-steyr.at'],['http://www.fh-steyr.at/'],Austria,AT,
Fachhochschule St. Pölten,['fh-stpoelten.ac.at'],['http://www.fh-stpoelten.ac.at/'],Austria,AT,
Fachhochschule Vorarlberg,['fhv.at'],['http://www.fhv.at/'],Austria,AT,
Fachhochschule für Bank- und Finanzwirtschaft,['fh-vie.ac.at'],['http://www.fh-vie.ac.at/'],Austria,AT,
Fachhochschulstudiengänge der Wiener Wirtschaft,['fhw.at'],['http://www.fhw.at/'],Austria,AT,
Fachhochschulstudiengänge Wels,['fh-wels.at'],['http://www.fh-wels.at/'],Austria,AT,
Fachhochschule Wiener Neustadt,['fhwn.ac.at'],['http://www.fhwn.ac.at/'],Austria,AT,
Fachhochschulstudiengänge Krems IMC,['imc-krems.ac.at'],['http://www.imc-krems.ac.at/'],Austria,AT,
Medizinische Universität Innsbruck,['i-med.ac.at'],['http://www.i-med.ac.at/'],Austria,AT,
Institute of Science and Technology,['ist.ac.at'],['http://www.ist.ac.at/'],Austria,AT,
Universität Graz,['kfunigraz.ac.at'],['http://www.kfunigraz.ac.at/'],Austria,AT,
